登録番号,状態,複本,受入日付,タイトル (巻・版),シリーズ,著者,出版者,出版年,ISBN,頁数,大きさ,定価,請求記号,資料区分,受入区分,受入価格,現在の配架,配架場所,一時配架,貸出区分,備考,貸出累計,タグ
17,在架,,2001/12/1 0:00,お母ちゃんの住まい誕生,,宇津崎光代,ウインかもがわ,2001/6/1,4-87699-603-2,218,20,1600,527-ｵ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
24,在架,,2002/1/25 0:00,情熱,,フィリップ・トルシエ,,2001/12/25,,220,20,1400,783-ﾌｼﾞ,図書,寄贈,1400,図書室,図書室,,一般貸出,岡崎先生より寄贈,1,
31,在架,,2001/12/1 0:00,マグル式〈ハリー・ポッター〉魔法の読み解き方,,藤城真澄,日本文芸社,2001/10/1,4-537-25067-4,236,18,950,933.7-ﾏﾛ,図書,購入,950,図書室,図書室,,一般貸出,,2,
48,除籍,,2001/12/1 0:00,空が落ちる 上　1,1,シドニィ・シェルダン,アカデミー出版,2001/9/1,4-900430-97-8,302,20,1200,933.7-ｼｿ-1,図書,購入,1200,廃棄,廃棄,,一般貸出,,0,
55,在架,,2001/12/1 0:00,海岸林が消える？！,ノンフィクション・ワールド,近田文弘,大日本図書,2000/11/1,4-477-01155-5,189,20,1350,653-ｺｶ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
62,除籍,,2001/12/1 0:00,旅涯ての地 上　1,角川文庫　1,坂東真砂子,角川書店,2001/6/1,4-04-193206-8,414,15,571,913.6-ﾊﾞﾀ-1,図書,購入,571,文庫スタンド,文庫スタンド,,一般貸出,,0,
79,除籍,,2001/12/1 0:00,旅涯ての地 下　2,角川文庫　2,坂東真砂子,角川書店,2001/6/1,4-04-193207-6,415,15,571,913.6-ﾊﾞﾀ-2,図書,購入,571,文庫スタンド,文庫スタンド,,一般貸出,,0,
86,除籍,,2001/12/1 0:00,冬空に舞う鳥　17,３年Ｂ組金八先生　17,小山内美江子,高文研,2000/3/1,4-87498-235-2,237,19,1000,913.6-ｵﾌ-17,図書,購入,1000,図書室,図書室,,一般貸出,,0,
277142,在架,,2022/8/8 0:00,C++の絵本　第2版,,アンク　著,翔泳社,2017.4,978-4-7981-5190-8,201p,23cm,1780円,007.64-ア,図書,購入,1762,図書室,図書室,,一般貸出,,0,
277143,貸出中,親,2022/8/8 0:00,Visual Studio Code実践入門!,,飛松清　著,リックテレコム,2022.4,978-4-86594-334-4,271p,24cm,2500円,007.64-ト,図書,購入,2475,図書室,図書室,,一般貸出,,1,
277144,貸出中,親,2022/8/8 0:00,Visual Studio Code完全入門,,リブロワークス　著,インプレス,2022.3,978-4-295-01345-7,271p,21cm,2400円,007.64-リ,図書,購入,2376,図書室,図書室,,一般貸出,,1,
277145,在架,,2022/8/8 0:00,「PICマイコン」ではじめる電子工作,I/O BOOKS,神田民太郎　著,工学社,2019.12,978-4-7775-2096-1,127p,26cm,2000円,549-カ,図書,購入,1980,図書室,図書室,,一般貸出,,0,
277146,在架,,2022/8/8 0:00,これ1冊でできる!Arduinoではじめる電子工作超入門　改訂第4版,,福田和宏　著,ソーテック社,2020.5,978-4-8007-1267-7,255p,24cm,2750円,548.22-フ,図書,購入,2722,図書室,図書室,,一般貸出,,0,
277147,在架,,2022/8/8 0:00,クジラの骨と僕らの未来,世界をカエル10代からの羅針盤,中村玄　著,理論社,2021.7,978-4-652-20436-8,189p,19cm,1300円,289.1-ナ,図書,購入,1287,図書室,図書室,,一般貸出,,0,
277172,在架,,2022/8/8 0:00,ドローン・ビジネスと法規制　第2版,,森・濱田松本法律事務所AI・IoTプラクティスグループ　編,清文社,2022.1,978-4-433-77251-2,338p,21cm,3200円,687.1-モ,図書,購入,3168,図書室,図書室,,一般貸出,,0,
277173,在架,,2022/8/8 0:00,ドローン飛行許可の取得・維持管理の基礎がよくわかる本,,佐々木慎太郎　著,セルバ出版,2021.7,978-4-86367-675-6,159p,19cm,1500円,687.1-サ,図書,購入,1485,図書室,図書室,,一般貸出,,0,
277174,在架,,2022/8/8 0:00,マンガでわかるドローン = The Manga Guide to Drone,,名倉真悟　著,オーム社,2019.12,978-4-274-22478-2,200p,24cm,2200円,538.6-ナ,図書,購入,2178,図書室,図書室,,一般貸出,,0,
277175,在架,,2022/8/8 0:00,その扉をたたく音,,瀬尾まいこ　著,集英社,2021.2,978-4-08-771741-9,211p,19cm,1400円,913.6-セ,図書,購入,1386,図書室,図書室,,一般貸出,,0,
277176,在架,,2022/8/8 0:00,建築家になりたい君へ,14歳の世渡り術,隈研吾　著,河出書房新社,2021.2,978-4-309-61729-9,223p,19cm,1400円,520-ク,図書,購入,1386,図書室,図書室,,一般貸出,,0,
277177,在架,子,2022/8/19 0:00,解きたくなる数学,,佐藤雅彦　著,岩波書店,2021.9,978-4-00-006339-5,133p,24cm,1800円,410-サ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277178,貸出中,,2022/8/19 0:00,世界のAI戦略,,マルチメディア振興センター　編,明石書店,2020.3,978-4-7503-5000-4,245p,21cm,3500円,007.13-マ,図書,寄贈,0,図書室,図書室,,一般貸出,,1,
93,除籍,,2001/12/1 0:00,壊れた学級　15,３年Ｂ組金八先生　15,小山内美江子,高文研,1999/11/1,4-87498-228-X,221,19,1000,913.6-ｵｺ-15,図書,購入,1000,図書室,図書室,,一般貸出,,0,
109,除籍,,2001/12/1 0:00,道は遠くとも　14,３年Ｂ組金八先生　14,小山内美江子,高文研,1998/4/1,4-87498-204-2,187,19,952,913.6-ｵﾐ-14,図書,購入,952,図書室,図書室,,一般貸出,,0,
116,除籍,,2001/12/1 0:00,空が落ちる 下　2,2,シドニィ・シェルダン,アカデミー出版,2001/9/1,4-900430-98-6,323,20,1200,933.7-ｼｿ-2,図書,購入,1200,廃棄,廃棄,,一般貸出,,0,
123,除籍,,2001/12/1 0:00,Ｇｏ,,金城一紀,講談社,2000/3/1,4-06-210054-1,241,20,1400,913.6-ｶｺﾞ,図書,購入,1400,図書室,図書室,,一般貸出,本文は日本語,0,
130,除籍,,2002/12/1 0:00,春を呼ぶ声　13,３年Ｂ組金八先生　13,小山内美江子,高文研,1996/3/1,4-87498-174-7,217,19,971,913.6-ｵﾊ-13,図書,購入,971,図書室,図書室,,一般貸出,,0,
147,除籍,,2001/12/1 0:00,僕は逃げない　12,３年Ｂ組金八先生　12,小山内美江子,高文研,1996/2/1,4-87498-173-9,261,19,1165,913.6-ｵﾎﾞ-12,図書,購入,1165,図書室,図書室,,一般貸出,,0,
154,在架,,2001/12/1 0:00,さびしい天使　9,３年Ｂ組金八先生　9,小山内美江子,高文研,1988/12/1,4-87498-100-3,245,19,800,913.6-ｵｻ-9,図書,購入,800,図書室,図書室,,一般貸出,,0,
161,在架,,2001/12/1 0:00,三国志 １０　10,希望コミックス　10,横山光輝,潮出版社,1990/1/1,4-267-90110-4,212,18,369,726.1-ﾖｻ-10,図書,寄贈,369,図書室,図書室,,一般貸出,,0,
178,在架,,2001/12/1 0:00,人権読本,,鎌田慧,岩波書店,2001/11/20,4-00-500386-9,216,18,740,80-ｶｼﾞ,図書,購入,740,岩波ジュニア新書,岩波ジュニア新書,,一般貸出,,0,
277179,在架,,2022/8/19 0:00,ヒップホップ・ラップの授業づくり,,磯田三津子　著,明石書店,2021.11,978-4-7503-5289-3,158p,21cm,2000円,375.76-イ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277180,在架,,2022/8/19 0:00,環境年表　第7冊(2021-2022),理科年表シリーズ,国立天文台　編,丸善出版,2021.11,978-4-621-30656-7,521p,21cm,3000円,519.03-コ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277181,在架,,2022/8/19 0:00,いじめ・自殺はなぜなくならないのか,,児玉勇二　著,明石書店,2022.3,978-4-7503-5346-3,219p,19cm,2400円,371.42-コ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277182,在架,,2022/8/19 0:00,SDGs時代の学びづくり,,平野沙和　著,明石書店,2021.12,978-4-7503-5309-8,236p,21cm,2000円,375-イ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277183,在架,,2022/8/19 0:00,プログラミング道への招待,,竹内郁雄　著,丸善出版,2017.1,978-4-621-30133-3,242p,19cm,1800円,007.6-タ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277184,在架,,2022/8/19 0:00,ICTことば辞典 = A Dictionary of Information & Communications Technology,,大谷和利　著,三省堂,2015.7,978-4-385-13737-7,286p,21cm,2000円,007.3-オ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277185,在架,,2022/8/19 0:00,アフター・コロナの学校の条件,,中村文夫　著,岩波書店,2021.7,978-4-00-061449-8,204p,19cm,2500円,373.1-ナ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277186,在架,,2022/8/19 0:00,18歳成人社会ハンドブック,,田中治彦　編著,明石書店,2018.3,978-4-7503-4621-2,197p,21cm,2500円,324.11-タ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277187,在架,,2022/8/19 0:00,部活動の社会学 = SOCIOLOGY OF BUKATSUDO,,加藤一晃　著,岩波書店,2021.7,978-4-00-061479-5,210p,20cm,2400円,375.18-ウ,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277188,在架,,2022/8/19 0:00,世界の名言名句1001,,ロバート・アープ　責任編集,三省堂,2018.11,978-4-385-16241-6,960p,22cm,4200円,159.8-ア,図書,寄贈,0,図書室,図書室,,一般貸出,,0,
277189,在架,,2022/8/19 0:00,黒人と白人の世界史,世界人権問題叢書　104,オレリア・ミシェル　著,明石書店,2021.1,978-4-7503-5230-5,373p,20cm,2700円,316.8-ミ,図書,寄贈,0,保健室,保健室,,一般貸出,,1,
277190,貸出中,,2022/8/19 0:00,強いAI・弱いAI,,松原仁　話し手,丸善出版,2017.1,978-4-621-30179-1,259p,19cm,1800円,007.1-ト,図書,寄贈,0,図書室,図書室,,一般貸出,,1,
185,在架,,2001/12/1 0:00,なぜ数学を学ぶのか,,竹内英人,岩波書店,2001/11/20,4-00-500385-0,195,18,740,80-ﾀﾅ,図書,購入,740,岩波ジュニア新書,岩波ジュニア新書,,一般貸出,,0,
192,除籍,,2001/12/1 0:00,スラムダンク,,井上雄彦,集英社,2001/7/16,4-08-703028-8,244,19,743,913-ｲｽ,図書,購入,743,図書室,図書室,,一般貸出,,0,
208,在架,,2002/1/25 0:00,同音漢字問題集　388,388,岡田　寿彦,岩波書店,2001/12/20,4-00-500388-5,202,18,740,80-ｵﾄﾞ-388,図書,購入,740,岩波ジュニア新書,岩波ジュニア新書,,一般貸出,,0,
215,在架,,2002/1/15 0:00,白い犬とワルツを,新潮文庫,テリー・ケイ,新潮社,1998/3/1,4-10-249702-1,272,16,514,933.7-ｹｼ,図書,購入,514,文庫スタンド,文庫スタンド,,一般貸出,,0,
222,除籍,,2002/1/15 0:00,乱歩が選ぶ黄金時代ミステリーＢＥＳＴ１０ ２,集英社文庫,ガストン・ルルー 長島良三,集英社,1998/10/1,4-08-748830-6,380,16,705,908.3-ﾗ,図書,購入,705,文庫スタンド,文庫スタンド,,一般貸出,,0,
239,在架,,2002/1/15 0:00,最後の家族,,村上竜,幻冬舎,2001/10/1,4-344-00121-4,324,20,1500,913.6-ﾑｻ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
246,在架,,2002/1/15 0:00,黒衣の宰相,,火坂雅志,幻冬舎,2001/10/1,4-344-00120-6,530,20,2000,913.6-ﾋｺ,図書,購入,2000,図書室,図書室,,一般貸出,,0,
253,在架,,2002/1/15 0:00,日本三百名山登山ガイド 下　3,3,,山と渓谷社,2001/1/1,4-635-53022-1,206,26,2200,786-ﾆ-3,図書,購入,2200,図書室,図書室,,一般貸出,,0,
260,在架,,2002/1/15 0:00,ブラック・ジャック １５　15,15,手塚治虫,秋田書店,2000/12/1,4-253-09983-1,296,20,1067,726.1-ﾃﾌﾞ-15,図書,購入,1067,図書室,図書室,,一般貸出,,2,
277,在架,,2002/1/15 0:00,ブラック・ジャック １６　16,16,手塚治虫,秋田書店,2001/3/1,4-253-09984-X,336,20,1067,726.1-ﾃﾌﾞ-16,図書,購入,1067,図書室,図書室,,一般貸出,,2,
284,除籍,,2002/1/15 0:00,あなたに逢いたい,角川文庫  スニーカー文庫,冴木忍,角川書店,1995/2/1,4-04-413809-5,221,15,456,913.6-ｻｱ,図書,購入,456,文庫スタンド,文庫スタンド,,一般貸出,,0,
291,在架,,2002/1/15 0:00,色の錯覚,,雨宮政次,六耀社,2001/2/1,4-89737-384-0,141,26,2800,757.3-ｱｲ,図書,購入,2800,図書室,図書室,,一般貸出,,0,
307,在架,,2002/1/15 0:00,生命の地球１　1,1,,三友社,2000/8/1,,199,31,,461-ｾ-1,図書,購入,0,図書室,図書室,,一般貸出,,0,
314,在架,,2002/1/15 0:00,生命の地球２　2,2,,三友社,2000/8/1,,189,31,,461-ｾ-2,図書,購入,0,図書室,図書室,,一般貸出,,0,
321,在架,,2002/1/15 0:00,生命の地球３　3,3,,三友社,2000/8/1,,191,31,,461-ｾ-3,図書,購入,0,図書室,図書室,,一般貸出,,0,
338,在架,,2002/1/15 0:00,生命の地球４　4,4,,三友社,2000/8/1,,191,31,,461-ｾ-4,図書,購入,0,図書室,図書室,,一般貸出,,0,
345,在架,,2002/1/15 0:00,生命の地球５　5,5,,三友社,2000/8/1,,189,31,,461-ｾ-5,図書,購入,0,図書室,図書室,,一般貸出,,0,
352,在架,,2002/1/15 0:00,生命の地球６　6,6,,三友社,2000/8/1,,189,31,,461-ｾ-6,図書,購入,0,図書室,図書室,,一般貸出,,0,
369,在架,,2002/1/15 0:00,生命の地球７　7,7,,三友社,2000/8/1,,191,31,,461-ｾ-7,図書,購入,0,図書室,図書室,,一般貸出,,0,
376,在架,,2002/1/15 0:00,生命の地球８　8,8,,三友社,2000/8/1,,189,31,,461-ｾ-8,図書,購入,0,図書室,図書室,,一般貸出,,0,
383,在架,,2002/1/15 0:00,生命の地球９　9,9,,三友社,2000/8/1,,129,31,,461-ｾ-9,図書,購入,0,図書室,図書室,,一般貸出,,0,
390,除籍,,2001/12/1 0:00,哀しみの仮面　16,３年Ｂ組金八先生　16,小山内美江子,高文研,2000/2/1,4-87498-230-1,214,19,1000,913.6-ｵｶ-16,図書,購入,1000,図書室,図書室,,一般貸出,,0,
406,除籍,,2001/12/1 0:00,風光る朝に　18,３年Ｂ組金八先生　18,小山内美江子,高文研,2000/6/1,4-87498-238-7,221,19,1000,913.6-ｵｶ-18,図書,購入,1000,図書室,図書室,,一般貸出,,0,
413,除籍,,2001/12/1 0:00,朝焼けの合唱　11,３年Ｂ組金八先生　11,小山内美江子,高文研,1995/12/1,4-87498-170-4,203,19,971,913.6-ｵｱ-11,図書,購入,971,図書室,図書室,,一般貸出,,0,
420,除籍,,2001/12/1 0:00,友よ、泣くな　10,３年Ｂ組金八先生　10,小山内美江子,高文研,1989/3/1,4-87498-102-X,218,19,850,913.6-ｵﾄ-10,図書,購入,850,図書室,図書室,,一般貸出,,0,
437,在架,,2001/12/10 0:00,あなたが好きだった,,堀川波,リヨン社,1998/5/1,4-576-98047-5,1,16,1100,917-ﾎｱ,図書,寄贈,1100,図書室,図書室,,一般貸出,中澤さんより寄贈,0,
444,除籍,,2001/12/10 0:00,かわってゆく自分,,堀川波,リヨン社,1998/2/1,4-576-97189-1,1,16,1100,917-ﾎｶ,図書,寄贈,1100,図書室,図書室,,一般貸出,中澤さんより寄贈,0,
451,在架,,2001/12/10 0:00,幸せをみつけよう,,堀川波,リヨン社,1998/11/1,4-576-98158-7,1,16,1100,917-ﾎｼ,図書,寄贈,1100,図書室,図書室,,一般貸出,中澤さんより寄贈,0,
468,在架,,2002/1/17 0:00,わたしのためにできること,,堀川波,大和書房,1998/11/1,4-479-67022-X,1,18,1100,917-ﾎﾜ,図書,寄贈,1100,図書室,図書室,,一般貸出,中澤さんより寄贈,0,
475,除籍,,2001/12/10 0:00,わたしの好きなひと,,堀川波,リヨン社,1997/12/1,4-576-97161-1,1,16,1100,917-ﾎﾜ,図書,寄贈,1100,図書室,図書室,,一般貸出,中澤さんより寄贈,0,
482,除籍,,2002/1/25 0:00,情熱物語 ２　2,コバルト文庫　2,折原みと,集英社,2001/10/1,4-08-600013-X,206,15,419,913.6-ｵｼﾞ-2,図書,購入,419,文庫スタンド,文庫スタンド,,一般貸出,,0,
499,在架,,2002/1/25 0:00,２０世紀少年 １　1,ビッグコミックス　1,浦沢直樹,小学館,2000/3/1,4-09-185531-8,208,18,505,726.1-ｳﾆ-1,図書,購入,505,図書室,図書室,,一般貸出,,2,
505,在架,,2002/1/25 0:00,２０世紀少年 ２　2,ビッグコミックス　2,浦沢直樹,小学館,2000/8/1,4-09-185532-6,201,18,505,726.1-ｳﾆ-2,図書,購入,505,図書室,図書室,,一般貸出,,4,
512,在架,,2002/1/25 0:00,２０世紀少年 ３　3,ビッグコミックス　3,浦沢直樹,小学館,2000/10/1,4-09-185533-4,204,18,505,726.1-ｳﾆ-3,図書,購入,505,図書室,図書室,,一般貸出,,2,
529,在架,親,2002/1/25 0:00,２０世紀少年 ４　4,ビッグコミックス　4,浦沢直樹,小学館,2001/3/1,4-09-185534-2,206,18,505,726.1-ｳﾆ-4,図書,購入,505,図書室,図書室,,一般貸出,,1,
536,在架,子,2002/1/25 0:00,２０世紀少年 5　5,ビッグコミックス　5,浦沢直樹,小学館,2001/8/5,4-09-185534-2,212,18,505,726.1-ｳﾆ-5,図書,購入,505,図書室,図書室,,一般貸出,,2,
543,在架,子,2002/1/25 0:00,２０世紀少年 ６　6,ビッグコミックス　6,浦沢直樹,小学館,2001/9/1,4-09-185534-2,212,18,505,726.1-ｳﾆ-6,図書,購入,505,図書室,図書室,,一般貸出,,1,
550,在架,子,2001/12/1 0:00,２０世紀少年 ７　7,ビッグコミックス　7,浦沢直樹,小学館,2001/12/1,4-09-185534-2,214,18,505,726.1-ｳﾆ-7,図書,寄贈,505,図書室,図書室,,一般貸出,図書委員　購入（図書券）,1,
567,在架,,2002/1/31 0:00,陰陽師 １　1,Ｊｅｔｓ　ｃｏｍｉｃｓ　1,岡野玲子,白泉社,1999/9/1,4-592-13211-4,1,21,771,726.1-ｵｵ-1,図書,購入,771,図書室,図書室,,一般貸出,,1,
574,在架,,2002/1/31 0:00,陰陽師 ４　4,Ｊｅｔｓ　ｃｏｍｉｃｓ　4,岡野玲子,白泉社,1999/11/1,4-592-13214-9,245,21,771,726.1-ｵｵ-4,図書,購入,771,図書室,図書室,,一般貸出,,0,
581,在架,,2002/1/31 0:00,陰陽師 ５　5,Ｊｅｔｓ　ｃｏｍｉｃｓ　5,岡野玲子,白泉社,2000/2/1,4-592-13215-7,1,21,790,726.1-ｵｵ-5,図書,購入,790,図書室,図書室,,一般貸出,,0,
598,在架,,2002/1/31 0:00,陰陽師 ６　6,Ｊｅｔｓ　ｃｏｍｉｃｓ　6,岡野玲子,白泉社,1999/9/1,4-592-13216-5,1,21,790,726.1-ｵｵ-6,図書,購入,790,図書室,図書室,,一般貸出,,0,
604,在架,,2002/1/31 0:00,陰陽師 ７　7,Ｊｅｔｓ　ｃｏｍｉｃｓ　7,岡野玲子,白泉社,1999/11/1,4-592-13217-3,223,21,771,726.1-ｵｵ-7,図書,購入,771,図書室,図書室,,一般貸出,,0,
611,在架,,2002/1/31 0:00,陰陽師 ８　8,Ｊｅｔｓ　ｃｏｍｉｃｓ　8,岡野玲子,白泉社,1999/10/1,4-592-13218-1,1,21,790,726.1-ｵｵ-8,図書,購入,790,図書室,図書室,,一般貸出,,0,
628,在架,,2002/1/31 0:00,陰陽師 ９　9,Ｊｅｔｓ　ｃｏｍｉｃｓ　9,岡野玲子,白泉社,2000/6/1,4-592-13219-X,1,21,790,726.1-ｵｵ-9,図書,購入,790,図書室,図書室,,一般貸出,,0,
635,在架,,2002/1/31 0:00,陰陽師 １０　10,Ｊｅｔｓ　ｃｏｍｉｃｓ　10,岡野玲子,白泉社,2001/6/1,4-592-13220-3,337,21,829,726.1-ｵｵ-10,図書,購入,829,図書室,図書室,,一般貸出,,0,
642,在架,,2002/1/31 0:00,陰陽師 ３　3,Ｊｅｔｓ　ｃｏｍｉｃｓ　3,岡野玲子,白泉社,2000/2/1,4-592-13213-0,1,21,771,726.1-ｵｵ-3,図書,購入,771,図書室,図書室,,一般貸出,,1,
659,在架,,2001/12/14 0:00,略歴,,石垣りん,童話屋,2001/6/1,4-88747-018-5,157,22,2000,911.5-ｲﾘ,図書,購入,2000,図書室,図書室,,一般貸出,花神社　１９７９年刊の再刊,0,
666,在架,,2001/12/14 0:00,百人百句,,大岡信,講談社,2001/1/1,4-06-208222-5,382,20,1800,911.3-ｵﾋ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
673,在架,,2001/12/14 0:00,新版歌祭文,歌舞伎オン・ステージ,織田紘二,白水社,2001/5/1,4-560-03285-8,259,19,3600,912.5-ｼ,図書,購入,3600,図書室,図書室,,一般貸出,,0,
680,在架,,2001/12/14 0:00,長い時間をかけた人間の経験,,林京子,講談社,2000/9/1,4-06-210381-8,179,20,1600,913.6-ﾊﾅ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
697,在架,,2001/12/14 0:00,はじまりのことば,,可能涼介,理論社,2001/1/1,4-652-07194-9,183,19,1500,913.6-ｶﾊ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
703,在架,,2001/12/14 0:00,草を褥に,,大原富枝,小学館,2001/4/1,4-09-343351-8,229,20,1800,913.6-ｵｸ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
710,在架,,2001/12/14 0:00,吉本ばなな自選選集 ４,,吉本ばなな,新潮社,2001/2/1,4-10-646304-0,461,20,2000,913.6-ﾖﾖ,図書,購入,2000,図書室,図書室,,一般貸出,,0,
727,在架,,2001/12/14 0:00,陽気なイエスタデイ,,阿刀田高,文芸春秋,2001/2/1,4-16-357070-5,229,20,1429,914.6-ｱﾖ,図書,購入,1429,図書室,図書室,,一般貸出,,0,
734,在架,,2001/12/14 0:00,人は道草を食って生きる,,赤瀬川隼,主婦の友社,2001/5/1,4-07-229458-6,286,20,1600,914.6-ｱﾋ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
741,在架,,2001/12/14 0:00,ぼくの還る川 Ｐａｒｔ２,Ｂｅ・ｐａｌ　ｂｏｏｋｓ,野田知佑,小学館,2001/6/1,4-09-366329-7,230,20,1200,914.6-ﾉﾎﾞ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
758,在架,,2001/12/14 0:00,すべてきみに宛てた手紙,,長田弘,晶文社,2001/4/1,4-7949-6484-6,137,22,1800,914.6-ｵｽ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
765,在架,,2001/12/14 0:00,日本の森を歩く,,池内紀,山と渓谷社,2001/6/1,4-635-28047-0,277,22,1800,652.1-ｲﾆ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
772,在架,,2001/12/14 0:00,ぼくの日本十六景,,森本哲郎,新潮社,2001/5/1,4-10-337210-9,252,20,1600,915.6-ﾓﾎﾞ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
789,在架,,2001/12/14 0:00,煤の中のマリア,,石牟礼道子,平凡社,2001/2/1,4-582-82947-3,334,20,2000,915.6-ｲｽ,図書,購入,2000,図書室,図書室,,一般貸出,,0,
796,在架,,2001/12/14 0:00,僕の名前は。,,一志治夫,講談社,2001/6/1,4-06-210501-2,217,20,1400,786.1-ｲﾎﾞﾉ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
802,在架,,2001/12/14 0:00,二人五脚,,松井進,実業之日本社,2001/6/1,4-408-39476-9,281,20,1500,916-ﾏﾆ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
819,在架,,2001/12/14 0:00,１８歳、青春まっしぐら,,今田真由美,ポプラ社,2001/4/1,4-591-06802-1,223,20,1400,289.1-ｲｼﾞｲ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
826,在架,,2001/12/14 0:00,重松日記,,重松静馬,筑摩書房,2001/5/1,4-480-81818-9,291,20,2400,916-ｼｼ,図書,購入,2400,図書室,図書室,,一般貸出,付：重松静馬の８月６日の足取り（１枚）,0,
833,在架,,2001/12/14 0:00,かまちの海,,山田千鶴子,文芸春秋,2001/5/1,4-16-357430-1,266,20,1333,289.1-ﾔｶﾔ,図書,購入,1333,図書室,図書室,,一般貸出,,0,
840,在架,,2001/12/14 0:00,泉鏡花　8,8,坪内祐三 泉鏡花 四方田犬彦,筑摩書房,2001/6/1,4-480-10148-9,429,20,2400,918.6-ﾒ-8,図書,購入,2400,図書室,図書室,,一般貸出,,0,
857,在架,,2001/12/14 0:00,赤毛のアンに隠されたシェイクスピア,,松本　侑子,集英社,2001/6/1,4-08-774511-2,350,20,1900,933.7-ﾏｱﾓ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
864,在架,,2001/12/14 0:00,スターガール,,ジェリー・スピネッリ,理論社,2001/4/1,4-652-07197-3,313,19,1380,933.7-ｽｽ,図書,購入,1380,図書室,図書室,,一般貸出,,0,
871,在架,,2001/12/14 0:00,銀のキス,,アネット・カーティス・クラウス,徳間書店,2001/3/1,4-19-861330-3,222,19,1400,933.7-ｸｷﾞ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
888,在架,,2001/12/14 0:00,ネシャン・サーガ ２　2,2,ラルフ・イーザウ,あすなろ書房,2001/6/1,4-7515-2122-5,597,22,2400,943.7-ｲﾈ-2,図書,購入,2400,図書室,図書室,,一般貸出,,0,
895,在架,,2001/12/14 0:00,川の上で,,ヘルマン・シュルツ,徳間書店,2001/4/1,4-19-861345-1,150,19,1200,943.7-ｼｶ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
901,在架,,2001/12/14 0:00,カフカ小説全集 ３,,カフカ,白水社,2001/4/1,4-560-04703-0,440,20,2900,943.7-ｶｶ,図書,購入,2900,図書室,図書室,,一般貸出,,0,
918,在架,,2001/12/14 0:00,カフカ小説全集 ４,,カフカ,白水社,2001/6/1,4-560-04704-9,373,20,2800,943.7-ｶｶ,図書,購入,2800,図書室,図書室,,一般貸出,,0,
925,在架,,2001/12/14 0:00,ベルリン１９３３,,クラウス・コルドン,理論社,2001/2/1,4-652-07195-7,559,19,2400,943.7-ｺﾍﾞ,図書,購入,2400,図書室,図書室,,一般貸出,,0,
932,在架,,2001/9/12 0:00,観光コースでない東京,,轡田隆史,,1999/1/1,,213,19,,213.6-ｸｶ,図書,購入,0,図書室,図書室,,一般貸出,,0,
949,在架,,2001/12/14 0:00,絵本のあたたかな森,,今江祥智,淡交社,2001/4/1,4-473-01810-5,127,21,1500,19.5-ｲｴ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
956,在架,,2001/12/14 0:00,２０世紀年表,,神田文人,小学館,2001/6/1,4-09-626074-6,287,26,1900,210.6-ﾆ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
963,在架,,2001/12/14 0:00,対日関係を知る事典,,平野健一郎,平凡社,2001/2/1,4-582-12631-6,401,22,3800,319.1-ﾀ,図書,購入,3800,保健室,保健室,,一般貸出,,0,
970,在架,,2001/12/14 0:00,解説世界憲法集,,樋口陽一,三省堂,2001/3/1,4-385-31307-5,394,19,2200,323-ｶ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
987,在架,,2001/12/14 0:00,２０世紀のことばの年表,,加藤迪男,東京堂出版,2001/5/1,4-490-10567-3,312,20,2400,814.7-ﾆ,図書,購入,2400,図書室,図書室,,一般貸出,,0,
994,在架,,2001/12/14 0:00,語源辞典 動物編,,吉田金彦,東京堂出版,2001/5/1,4-490-10574-6,266,20,2400,812-ﾖｺﾞ,図書,購入,2400,保健室,保健室,,一般貸出,,0,
